[ 2025-03-29 10:32:44,204 ] root - INFO - Initiate the data ingestion
[ 2025-03-29 10:33:01,572 ] root - INFO - Performed train test split on the dataframe
[ 2025-03-29 10:33:01,572 ] root - INFO - Exited split_data_into_train_test method od data_ingestion
[ 2025-03-29 10:33:01,576 ] root - INFO - Exporting Train and Test file path
[ 2025-03-29 10:33:01,894 ] root - INFO - Exporting Train and Test file path
[ 2025-03-29 10:33:01,907 ] root - INFO - Data Ingestion Completed
[ 2025-03-29 10:33:01,980 ] root - INFO - Initiate the data validation
[ 2025-03-29 10:33:02,238 ] root - INFO - Required the number of columns: 2
[ 2025-03-29 10:33:02,240 ] root - INFO - Data Frame has the number of columns: 32
[ 2025-03-29 10:33:02,240 ] root - INFO - Required the number of columns: 2
[ 2025-03-29 10:33:02,241 ] root - INFO - Data Frame has the number of columns: 32
[ 2025-03-29 10:33:02,874 ] root - INFO - Data Validation Completed
[ 2025-03-29 10:33:02,876 ] root - INFO - Data Tranformation started
[ 2025-03-29 10:33:02,876 ] root - INFO - Starting data transformation
[ 2025-03-29 10:33:02,985 ] root - INFO - Creating data transformer object
[ 2025-03-29 10:33:03,221 ] root - INFO - Entered the save_object method of mainutils class
[ 2025-03-29 10:33:03,255 ] root - INFO - Exited the save_object method
[ 2025-03-29 10:33:03,256 ] root - INFO - Entered the save_object method of mainutils class
[ 2025-03-29 10:33:03,265 ] root - INFO - Exited the save_object method
[ 2025-03-29 10:33:03,268 ] root - INFO - Data Transformation Completed
[ 2025-03-29 10:33:03,270 ] root - INFO - Model Training Started
[ 2025-03-29 10:45:12,124 ] root - INFO - Entered the save_object method of mainutils class
[ 2025-03-29 10:45:12,125 ] root - INFO - Exited the save_object method
[ 2025-03-29 10:45:12,126 ] root - INFO - Entered the save_object method of mainutils class
[ 2025-03-29 10:45:13,149 ] root - INFO - Exited the save_object method
[ 2025-03-29 10:45:13,149 ] root - INFO - Model trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03292025103203\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9650122050447518, precision_score=0.9572235673930589, recall_score=0.9729286300246104))
[ 2025-03-29 10:45:13,160 ] root - INFO - Model Training Artifact Created
